,c,n,x,y,country,decade
0,0.7375047404826574,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ARB,2000-2010
1,0.9091720613234243,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CSS,2000-2010
2,0.5617539111146589,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CEB,2000-2010
3,0.28945335423274915,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAR,2000-2010
4,0.2795082417702922,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAS,2000-2010
5,0.3437315703025665,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EAP,2000-2010
6,0.34539203515831707,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TEA,2000-2010
7,0.9353893299915506,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EMU,2000-2010
8,0.8731571670056426,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ECS,2000-2010
9,0.7392311599361587,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ECA,2000-2010
10,0.6906327265002926,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TEC,2000-2010
11,0.8794042171079575,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",EUU,2000-2010
12,-0.4521016442006253,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",FCS,2000-2010
13,-0.4764922867149078,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",HPC,2000-2010
14,0.9240055768464854,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",HIC,2000-2010
15,0.45774209513657693,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IBD,2000-2010
16,0.5170216066802281,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IBT,2000-2010
17,0.3154589841932033,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDB,2000-2010
18,-0.06355379109178592,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDX,2000-2010
19,0.5150919930144773,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",IDA,2000-2010
20,0.7727260897545899,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LTE,2000-2010
21,0.7903824763598178,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LCN,2000-2010
22,0.7039567183123913,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LAC,2000-2010
23,0.7754704192535434,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TLA,2000-2010
24,0.2302928647177237,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LDC,2000-2010
25,0.4217263297549237,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LMY,2000-2010
26,-0.6186025164397718,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LIC,2000-2010
27,-0.09779564263778254,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",LMC,2000-2010
28,0.8412183406293284,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",MEA,2000-2010
29,0.7601193871569731,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",MNA,2000-2010
30,0.7546777695850894,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TMN,2000-2010
31,0.4569659438940634,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",MIC,2000-2010
32,0.9041205363343725,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",NAC,2000-2010
33,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",INX,2000-2010
34,0.9162107638388443,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",OED,2000-2010
35,0.48530507729218175,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",OSS,2000-2010
36,0.1039633302559154,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",PSS,2000-2010
37,0.9412924820919022,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",PST,2000-2010
38,-0.039684726259005355,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",PRE,2000-2010
39,0.676422600850132,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SST,2000-2010
40,-0.13247326893987751,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SAS,2000-2010
41,-0.13247326893987751,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TSA,2000-2010
42,0.7833423324711406,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SSF,2000-2010
43,0.7835636883925906,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SSA,2000-2010
44,0.7833423324711338,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TSS,2000-2010
45,0.8473155188201463,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",UMC,2000-2010
46,0.9364313122760363,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",WLD,2000-2010
47,0.7499185246254435,7,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AFG,2000-2010
48,-0.0437320138831186,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ALB,2000-2010
49,0.0768464320932,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",DZA,2000-2010
50,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ASM,2000-2010
51,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AND,2000-2010
52,0.19423808910716442,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AGO,2000-2010
53,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ATG,2000-2010
54,0.8090817251577859,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ARG,2000-2010
55,-0.7364590543826774,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ARM,2000-2010
56,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",ABW,2000-2010
57,0.6686964870939602,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AUS,2000-2010
58,0.20197371544639628,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AUT,2000-2010
59,-0.13198963940056177,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",AZE,2000-2010
60,0.6823332103853156,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BHS,2000-2010
61,0.30597792952487507,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BHR,2000-2010
62,0.08142138715186617,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BGD,2000-2010
63,0.5827547474663823,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BRB,2000-2010
64,0.061327531305192785,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BLR,2000-2010
65,0.6717430852848618,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BEL,2000-2010
66,0.11613262478381696,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BLZ,2000-2010
67,-0.2492152963810716,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BEN,2000-2010
68,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BMU,2000-2010
69,-0.21600416540200978,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BTN,2000-2010
70,0.3352186379060972,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BOL,2000-2010
71,0.17820353725327218,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BIH,2000-2010
72,0.15691765216174383,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BWA,2000-2010
73,0.41154579702619565,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BRA,2000-2010
74,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",VGB,2000-2010
75,-0.7990943991665251,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BRN,2000-2010
76,0.7147043891929803,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BGR,2000-2010
77,0.06852991714098738,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BFA,2000-2010
78,0.21423691534409692,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",BDI,2000-2010
79,0.011173282080601385,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CPV,2000-2010
80,-0.06019055107682931,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",KHM,2000-2010
81,0.29323519243460544,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CMR,2000-2010
82,0.8519166174153663,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CAN,2000-2010
83,,0,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CYM,2000-2010
84,0.17923346991672373,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",CAF,2000-2010
85,-0.344782838907882,9,GDP,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",TCD,2000-2010
